threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,operations_per_thread
1,0,0,5.000000476837158,3226587,1620566,3148305,1570060,1496169,744815,7871061,[7871061]
1,1,0,5.000000476837158,3386836,1699590,3303313,1648982,1570212,782376,8260361,[8260361]
1,2,0,5.000000476837158,3247329,1630827,3168308,1580269,1505670,749647,7921307,[7921307]
2,0,0,5.000002384185791,2184639,1099195,2109717,1048002,1001097,496936,5295453,"[2736276, 2559177]"
2,1,0,5.000007629394531,1856605,938438,1797132,888411,852239,422166,4505976,"[2593899, 1912077]"
2,2,0,5.000000953674316,1888596,954421,1824993,903303,866351,428776,4579940,"[2605144, 1974796]"
4,0,0,5.000018119812012,840772,440585,820521,389922,390066,185901,2051359,"[525807, 492721, 507764, 525067]"
4,1,0,5.000010013580322,876232,457710,852656,407075,404599,193091,2133487,"[534058, 531193, 543686, 524550]"
4,2,0,5.0000386238098145,799028,419918,778226,369007,369224,174633,1946478,"[512162, 498014, 503238, 433064]"
8,0,0,5.00002908706665,623606,333874,608784,283356,289490,134557,1521880,"[188637, 187826, 191558, 194114, 182388, 192708, 189475, 195174]"
8,1,0,5.000023365020752,597291,321000,583053,270102,277457,128475,1457801,"[179923, 179315, 185901, 180720, 170527, 190421, 182608, 188386]"
8,2,0,5.000030040740967,636933,340095,621105,289232,295347,137406,1553385,"[198755, 198119, 197040, 197481, 193036, 192619, 188963, 187372]"
10,0,0,5.0017170906066895,611582,327850,595876,276995,283608,131824,1491066,"[158638, 159187, 154588, 137461, 158432, 143635, 142218, 133569, 159544, 143794]"
10,1,0,5.000027179718018,676070,359704,660738,309080,313353,146478,1650161,"[170975, 169270, 165939, 168379, 162719, 157347, 166734, 156501, 161858, 170439]"
10,2,0,5.000030040740967,637513,340655,622036,290039,294872,137685,1554421,"[157659, 153145, 157368, 154932, 150783, 151504, 153555, 156472, 158428, 160575]"
20,0,0,5.0000457763671875,633092,339369,618904,288647,294370,137122,1546366,"[74274, 77493, 78675, 79884, 78693, 77313, 80205, 76691, 78709, 77333, 74956, 76455, 78515, 78119, 76023, 79164, 74503, 74892, 77192, 77277]"
20,1,0,5.000062942504883,617979,330782,602700,280259,286845,132779,1507524,"[73343, 74637, 76359, 76176, 75620, 74307, 78077, 74138, 74647, 74734, 73070, 75175, 77867, 75048, 76358, 75575, 73995, 75626, 77023, 75749]"
20,2,0,5.00005578994751,639515,341158,622534,290330,295949,138196,1557998,"[76850, 76978, 77768, 77150, 76526, 79455, 80666, 75369, 77095, 76469, 77521, 77309, 81086, 78845, 80642, 80168, 76766, 77856, 76641, 76838]"
40,0,0,5.000092029571533,612872,327791,597679,277251,284257,132398,1494808,"[36572, 36637, 37288, 37006, 37322, 37967, 38556, 37105, 37218, 37118, 37347, 37106, 38344, 37783, 37678, 38426, 36637, 35847, 36826, 37089, 37866, 37046, 37701, 37696, 37554, 38605, 37681, 37107, 37357, 36516, 37752, 37971, 36845, 37622, 36534, 37172, 37612, 37247, 38458, 36594]"
40,1,0,5.000118255615234,617879,330898,602258,280104,286400,132947,1506537,"[37064, 36841, 37868, 37312, 37417, 37732, 38758, 37488, 36559, 37282, 37115, 36240, 39125, 38264, 38569, 39028, 36895, 37363, 37320, 36999, 38329, 37680, 37944, 37276, 37556, 38420, 38065, 37432, 37315, 37040, 37233, 38191, 37532, 38372, 36996, 38483, 39118, 37492, 37135, 37689]"
40,2,0,5.000096321105957,620725,332799,607332,282212,287400,133597,1515457,"[37763, 37752, 37652, 37755, 37357, 38765, 38962, 36739, 37892, 37497, 36877, 36947, 38738, 38277, 38724, 39069, 36855, 36439, 36828, 37555, 38266, 38387, 37614, 37704, 38571, 37748, 38693, 37753, 37358, 37915, 38696, 38726, 36697, 38090, 37805, 37440, 38710, 38256, 38401, 38184]"
64,0,0,5.000518321990967,606625,325181,590472,274126,281355,131529,1478452,"[23529, 22953, 22582, 22396, 23466, 22071, 23130, 21617, 23163, 23419, 23033, 22036, 22996, 23039, 23114, 22925, 23142, 22998, 23091, 23051, 22918, 22536, 23152, 22741, 22746, 23673, 22728, 22684, 23241, 23119, 23109, 23276, 23093, 23044, 23028, 23084, 22977, 23658, 23079, 23663, 23491, 22906, 23794, 22854, 23455, 23567, 23357, 22815, 23091, 23464, 23049, 23339, 23220, 23694, 22845, 23537, 23190, 23395, 23569, 23353, 23530, 23186, 23233, 23218]"
64,1,0,5.000517845153809,603511,323366,587602,272552,279997,129803,1471110,"[22614, 23133, 22832, 22640, 23218, 23654, 22808, 22907, 22458, 23105, 23415, 22783, 22965, 22978, 22608, 23379, 22428, 22999, 22813, 23034, 22743, 23154, 22970, 22743, 23318, 22909, 21707, 23300, 22575, 23018, 22642, 23138, 22577, 23039, 22352, 22810, 23656, 23214, 23230, 23276, 23156, 23443, 23392, 22446, 22812, 23079, 23209, 23127, 23093, 23171, 22898, 23064, 23129, 23212, 23105, 22891, 23227, 23189, 23472, 23020, 22748, 23179, 23286, 22620]"
64,2,0,5.000519752502441,606667,325442,591363,274759,281173,130676,1479203,"[22905, 22449, 23365, 22484, 22927, 23593, 22976, 22553, 23062, 23592, 23220, 22584, 23496, 23593, 22576, 23130, 22694, 22946, 22263, 22789, 23811, 23514, 23170, 22651, 23558, 23163, 22586, 23866, 22543, 22521, 22924, 22323, 22945, 23214, 23052, 22352, 23793, 22985, 22739, 22361, 23255, 23464, 22816, 22366, 23062, 22829, 23187, 22563, 23832, 23345, 23878, 23306, 23182, 23201, 23017, 23742, 23934, 23455, 23868, 23888, 22951, 23033, 23624, 24137]"
